"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
26.600,1.317,-0.15,0.1
26.650,1.309,-0.14,0.1
26.700,1.303,-0.14,0.0
26.750,1.296,-0.14,-0.1
26.800,1.288,-0.15,-0.1
26.850,1.281,-0.15,0.0
26.900,1.273,-0.15,0.0
26.950,1.266,-0.15,0.0
27.000,1.258,-0.15,0.0
27.050,1.251,-0.15,0.0
27.100,1.243,-0.15,0.0
27.150,1.236,-0.15,0.0
27.200,1.228,-0.15,0.0
27.250,1.221,-0.15,0.0
27.300,1.214,-0.15,0.0
27.350,1.206,-0.15,-0.1
27.400,1.199,-0.15,0.0
27.450,1.191,-0.16,0.0
27.500,1.183,-0.15,0.1
27.550,1.175,-0.15,0.0
27.600,1.169,-0.15,0.0
27.650,1.161,-0.15,0.0
27.700,1.153,-0.15,0.0
27.750,1.145,-0.15,0.0
27.800,1.138,-0.15,0.0
27.850,1.131,-0.15,0.0
27.900,1.123,-0.15,0.0
27.950,1.116,-0.14,0.0
28.000,1.109,-0.15,0.0
28.050,1.102,-0.15,0.0
28.100,1.094,-0.15,0.0
28.150,1.087,-0.15,0.0
28.200,1.080,-0.14,0.0
28.250,1.073,-0.14,0.0
28.300,1.066,-0.14,-8.6E-8
28.350,1.058,-0.14,-6.2E-8
28.400,1.051,-0.14,-1.1E-4
28.450,1.044,-0.14,0.0
28.500,1.037,-0.14,0.0
28.550,1.029,-0.14,0.0
28.600,1.022,-0.14,0.0
28.650,1.015,-0.14,0.0
28.700,1.008,-0.14,0.0
28.750,1.001,-0.14,0.0
28.800,0.994,-0.14,0.0
28.850,0.987,-0.14,0.0
28.900,0.980,-0.14,0.0
28.950,0.973,-0.14,-7.5E-4
29.000,0.965,-0.14,0.0
29.050,0.958,-0.14,0.0
29.100,0.951,-0.14,0.0
29.150,0.944,-0.14,0.0
29.200,0.937,-0.14,0.0
29.250,0.930,-0.14,0.0
29.300,0.923,-0.14,9.5E-5
29.350,0.916,-0.14,0.0
29.400,0.909,-0.14,0.0
29.450,0.902,-0.14,0.0
29.500,0.895,-0.14,0.0
29.550,0.888,-0.14,0.0
29.600,0.881,-0.14,0.0
29.650,0.874,-0.14,0.0
29.700,0.867,-0.14,-1.9E-14
29.750,0.860,-0.14,-9.3E-5
29.800,0.853,-0.14,0.0
